,Party Affiliation,week,anxiety,new_cases
207,Heavily Red,2020-10-26/2020-11-01,8.895857142857144,661396
208,Moderate,2020-10-26/2020-11-01,8.599642857142857,661396
209,Red,2020-10-26/2020-11-01,8.536043956043956,661396
210,Blue,2020-11-02/2020-11-08,8.11076923076923,900961
211,Heavily Blue,2020-11-02/2020-11-08,9.25204081632653,900961
212,Heavily Red,2020-11-02/2020-11-08,8.666428571428572,900961
213,Moderate,2020-11-02/2020-11-08,8.265714285714285,900961
214,Red,2020-11-02/2020-11-08,8.341868131868132,900961
215,Blue,2020-11-09/2020-11-15,7.8427472527472535,1118353
216,Heavily Blue,2020-11-09/2020-11-15,8.566530612244899,1118353
217,Heavily Red,2020-11-09/2020-11-15,8.161714285714286,1118353
218,Moderate,2020-11-09/2020-11-15,7.954464285714286,1118353
219,Red,2020-11-09/2020-11-15,7.9823076923076925,1118353
220,Blue,2020-11-16/2020-11-22,7.8087912087912095,1251936
221,Heavily Blue,2020-11-16/2020-11-22,8.500408163265305,1251936
222,Heavily Red,2020-11-16/2020-11-22,8.125857142857143,1251936
223,Moderate,2020-11-16/2020-11-22,7.934821428571429,1251936
224,Red,2020-11-16/2020-11-22,7.986483516483516,1251936
225,Blue,2020-11-23/2020-11-29,6.8380219780219775,1183256
226,Heavily Blue,2020-11-23/2020-11-29,7.421224489795918,1183256
227,Heavily Red,2020-11-23/2020-11-29,7.097714285714285,1183256
228,Moderate,2020-11-23/2020-11-29,6.920178571428571,1183256
229,Red,2020-11-23/2020-11-29,6.902087912087913,1183256
230,Blue,2020-11-30/2020-12-06,7.819120879120879,1475954
231,Heavily Blue,2020-11-30/2020-12-06,8.515510204081632,1475954
232,Heavily Red,2020-11-30/2020-12-06,7.930428571428571,1475954
233,Moderate,2020-11-30/2020-12-06,7.757857142857143,1475954
234,Red,2020-11-30/2020-12-06,7.710989010989011,1475954
235,Blue,2020-12-07/2020-12-13,7.834945054945055,1537172
236,Heavily Blue,2020-12-07/2020-12-13,8.492244897959184,1537172
237,Heavily Red,2020-12-07/2020-12-13,8.037857142857142,1537172
238,Moderate,2020-12-07/2020-12-13,7.834821428571429,1537172
239,Red,2020-12-07/2020-12-13,7.826153846153847,1537172
240,Blue,2020-12-14/2020-12-20,7.379780219780219,1512798
241,Heavily Blue,2020-12-14/2020-12-20,8.010408163265305,1512798
242,Heavily Red,2020-12-14/2020-12-20,7.6254285714285714,1512798
243,Moderate,2020-12-14/2020-12-20,7.447321428571429,1512798
244,Red,2020-12-14/2020-12-20,7.403626373626373,1512798
245,Blue,2020-12-21/2020-12-27,6.309010989010989,1317948
246,Heavily Blue,2020-12-21/2020-12-27,6.801224489795918,1317948
247,Heavily Red,2020-12-21/2020-12-27,6.382714285714286,1317948
248,Moderate,2020-12-21/2020-12-27,6.302321428571429,1317948
249,Red,2020-12-21/2020-12-27,6.207032967032967,1317948
250,Blue,2020-12-28/2021-01-03,6.873846153846154,1590007
251,Heavily Blue,2020-12-28/2021-01-03,7.410204081632654,1590007
252,Heavily Red,2020-12-28/2021-01-03,7.087428571428571,1590007
253,Moderate,2020-12-28/2021-01-03,6.876785714285715,1590007
254,Red,2020-12-28/2021-01-03,6.878681318681319,1590007
255,Blue,2021-01-04/2021-01-10,7.4108791208791205,1708204
256,Heavily Blue,2021-01-04/2021-01-10,7.9302040816326524,1708204
257,Heavily Red,2021-01-04/2021-01-10,7.466,1708204
258,Moderate,2021-01-04/2021-01-10,7.349285714285714,1708204
259,Red,2021-01-04/2021-01-10,7.352637362637363,1708204
260,Blue,2021-01-11/2021-01-17,7.584615384615385,1380273
261,Heavily Blue,2021-01-11/2021-01-17,8.094897959183672,1380273
